序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
34,aime_Qwen3-14B_S2,64,1,1,3,60,0.11666666666666665,0.3980799119526026,73497.0,91237.66666666667,8817350609082117.0,55307901431826.49
35,aime_Qwen3-14B_S1,64,1,1,3,60,0.12222222222222222,0.39576665860559385,85469.0,85469.0,7220679192054224.0,45452914255104.0
36,aime_Qwen3-14B_S32,32,2,1,3,60,0.43333333333333335,0.6790483533681216,81385.33333333333,1632830.6666666667,4797009567413794.0,29445298116091.734
37,aime_Qwen3-14B_S16,32,2,1,3,60,0.35555555555555557,0.662714042250931,80241.66666666667,934889.3333333334,3494044578540028.0,21693918010463.29
38,aime_Qwen3-14B_S8,32,2,1,3,60,0.3055555555555555,0.6266128408946873,81295.33333333333,494533.6666666667,2606114203470680.0,16348033942323.201
39,aime_Qwen3-14B_S4,32,2,1,3,60,0.26666666666666666,0.5710718643060534,73823.33333333333,253825.33333333334,1564453207435319.2,9829258608125.156
40,aime_Qwen3-14B_S2,32,2,1,3,60,0.2333333333333333,0.5215843474103418,81956.66666666667,145598.66666666666,1033476690650911.4,6497573584091.022
41,aime_Qwen3-14B_S1,32,2,1,3,60,0.12222222222222222,0.4474056089477001,79183.66666666667,79183.66666666667,784713932813710.1,4935753514060.8
42,aime_Qwen3-14B_S16,16,4,2,3,60,0.38333333333333336,0.7109599700417252,72902.33333333333,1714007.6666666667,3650703182272196.5,22663428432196.266
43,aime_Qwen3-14B_S8,16,4,2,3,60,0.3111111111111111,0.6863024786301205,73230.33333333333,998964.6666666666,2799502529583654.5,17546320188067.557
44,aime_Qwen3-14B_S4,16,4,2,3,60,0.2888888888888889,0.6526524361949778,74290.0,516108.6666666667,2114963978092782.8,13318859570141.867
45,aime_Qwen3-14B_S2,16,4,2,3,60,0.21666666666666667,0.602539525890281,78795.66666666667,284492.0,1336236860208082.5,8425079754695.11
46,aime_Qwen3-14B_S1,16,4,2,3,60,0.13333333333333333,0.5323434367505665,77575.0,148574.66666666666,964009664715638.0,6076840636687.645
47,aime_Qwen3-14B_S8,8,8,2,3,60,0.3,0.6996090663971261,84427.0,1136428.3333333333,465906966475827.2,2828428659626.6665
48,aime_Qwen3-14B_S4,8,8,2,3,60,0.25555555555555554,0.6563109794969892,86000.0,609797.6666666666,415737712868542.56,2571585693449.9556
49,aime_Qwen3-14B_S2,8,8,2,3,60,0.2388888888888889,0.6163895285131494,84721.66666666667,320574.0,350421591590934.75,2186575373708.8
50,aime_Qwen3-14B_S1,8,8,2,3,60,0.19444444444444445,0.5555627603057016,91927.0,183822.33333333334,319085883858541.5,2000109035339.3777
51,aime_Qwen3-14B_S4,4,16,4,3,60,0.3333333333333333,0.7139081497221215,76535.66666666667,961719.6666666666,1464909003535091.2,9192943425032.533
52,aime_Qwen3-14B_S2,4,16,4,3,60,0.2611111111111111,0.6689913490927957,77412.33333333333,542768.3333333334,1042012104038589.1,6553212426692.267
53,aime_Qwen3-14B_S1,4,16,4,3,60,0.15,0.5862277396188876,73006.33333333333,282673.6666666667,804404491099140.4,5061134350101.333
54,aime_Qwen3-14B_S2,2,32,4,3,60,0.2333333333333333,0.664746563260913,64426.666666666664,441046.6666666667,1104876123264755.4,6955851471360.0
55,aime_Qwen3-14B_S1,2,32,4,3,60,0.13333333333333333,0.5695215254886752,61682.333333333336,232904.33333333334,750483556408759.5,4717883634814.578
56,aime_Qwen3-14B_S1,1,64,4,3,60,0.15,0.603081491673505,53100.0,205083.0,928450704553753.6,5850521721309.866
57,aime_Qwen3-8B_S64,64,1,1,3,60,0.25,0.5601774871874582,61902.333333333336,285754.3333333333,1.8068634881901012e+16,85351649381043.2
58,aime_Qwen3-8B_S32,64,1,1,3,60,0.2388888888888889,0.5628420568206629,64600.0,236147.66666666666,1.4532129132171122e+16,75884416491316.62
59,aime_Qwen3-8B_S16,64,1,1,3,60,0.21666666666666667,0.53597455855316,69207.0,207001.66666666666,1.2033463951922576e+16,67321331618386.49
60,aime_Qwen3-8B_S8,64,1,1,3,60,0.22222222222222224,0.5233278774599047,72834.0,190895.33333333334,1.0044806836962924e+16,58738573226723.56
61,aime_Qwen3-8B_S4,64,1,1,3,60,0.21666666666666667,0.48668327920898197,81325.66666666667,156844.33333333334,8409751688803512.0,50449113676393.25
62,aime_Qwen3-8B_S2,64,1,1,3,60,0.19444444444444442,0.459301449813116,87365.33333333333,117922.66666666667,6307780667622404.0,38544798676305.06
63,aime_Qwen3-8B_S1,64,1,1,3,60,0.1611111111111111,0.4202875977274922,105600.0,105600.0,4770676119600183.0,29304278069492.62
64,aime_Qwen3-8B_S32,32,2,1,3,60,0.38333333333333336,0.6831589145327368,83306.66666666667,2329127.3333333335,482868603704908.8,2736605662097.067
65,aime_Qwen3-8B_S16,32,2,1,3,60,0.3277777777777778,0.6600936974999962,85528.33333333333,1223675.0,395358024138868.7,2346270578191.6445
66,aime_Qwen3-8B_S8,32,2,1,3,60,0.3055555555555555,0.6316221915908279,87209.33333333333,652234.0,330277760469084.44,2016000202747.7334
67,aime_Qwen3-8B_S4,32,2,1,3,60,0.2611111111111111,0.5904075176715063,90824.0,349159.6666666667,240602485259657.97,1485976905211.7334
68,aime_Qwen3-8B_S2,32,2,1,3,60,0.18333333333333335,0.5364252166176556,96865.33333333333,187172.33333333334,196181423906042.28,1222323756974.9333
69,aime_Qwen3-8B_S1,32,2,1,3,60,0.13333333333333333,0.4573341002879224,104905.0,104905.0,150311138729301.34,938827255990.0444
